Company.Name,Quarter,Closing_Price,EPS,P.E,P.B,Turnover,Debt_to_equity_ratio,Current_ratio,Quick_ratio
Ambuja Cements Ltd.,Jun-05,59.05,3.41,17.34,3.66,109.01,0.52,0.85,0.34
Ambuja Cements Ltd.,Sep-05,77,3.29,23.38,4.62,321.33,0.52,0.85,0.34
Ambuja Cements Ltd.,Dec-05,79.9,3.29,24.28,4.8,188.98,0.52,0.85,0.34
Ambuja Cements Ltd.,Mar-06,103.3,4.47,23.09,5.3,467.12,0.52,0.85,0.34
Ambuja Cements Ltd.,Jun-06,99.45,5.86,16.97,4.55,658.75,0.52,0.85,0.34
Ambuja Cements Ltd.,Sep-06,116.85,5.86,19.95,5.35,193.29,0.52,0.85,0.34
Ambuja Cements Ltd.,Dec-06,141.05,6.48,21.76,6.56,221.56,0.52,0.85,0.34
Ambuja Cements Ltd.,Mar-07,106.7,6.23,17.12,4.65,453.13,0.25,1.27,0.76
Ambuja Cements Ltd.,Jun-07,124.5,7.99,15.58,4.67,497.46,0.25,1.27,0.76
Ambuja Cements Ltd.,Sep-07,144.5,9.32,15.51,4.47,273.44,0.25,1.27,0.76
Ambuja Cements Ltd.,Dec-07,147.05,10.76,13.67,4.8,210.44,0.07,1.84,1.36
Ambuja Cements Ltd.,Mar-08,121.05,9.22,13.13,3.69,221.3,0.07,1.84,1.36
Ambuja Cements Ltd.,Jun-08,75.95,9.46,8.03,2.08,175.61,0.07,1.84,1.36
Ambuja Cements Ltd.,Sep-08,78.65,9.04,8.7,2.06,100.3,0.07,1.84,1.36
Ambuja Cements Ltd.,Dec-08,70.05,9.01,7.77,1.88,92.96,0.05,1.55,0.89
Ambuja Cements Ltd.,Mar-09,70.6,9.03,7.82,1.79,416.99,0.05,1.55,0.89
Ambuja Cements Ltd.,Jun-09,87.5,7.44,11.76,2.1,278.26,0.05,1.55,0.89
Ambuja Cements Ltd.,Sep-09,99.65,7.89,12.63,2.28,488.98,0.05,1.55,0.89
Ambuja Cements Ltd.,Dec-09,104.25,7.19,14.5,2.45,414.52,0.03,1.3,0.92
Ambuja Cements Ltd.,Mar-10,119.85,8.37,14.31,2.63,231.05,0.03,1.3,0.92
Ambuja Cements Ltd.,Jun-10,114.9,8.81,13.05,2.39,228.84,0.03,1.3,0.92
Ambuja Cements Ltd.,Sep-10,140.6,7.71,18.24,2.87,342.55,0.03,1.3,0.92
Ambuja Cements Ltd.,Dec-10,143.2,7.67,18.67,2.99,86.27,0.01,1.43,1.04
